,precision,recall,f1-score,support
001.Black_footed_Albatross,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
002.Laysan_Albatross,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
003.Sooty_Albatross,0.8181818181818182,0.9642857142857143,0.8852459016393442,28.0
004.Groove_billed_Ani,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
005.Crested_Auklet,0.8,0.8571428571428571,0.8275862068965517,14.0
006.Least_Auklet,0.7857142857142857,1.0,0.88,11.0
007.Parakeet_Auklet,1.0,0.9565217391304348,0.9777777777777777,23.0
008.Rhinoceros_Auklet,0.8,0.8888888888888888,0.8421052631578947,18.0
009.Brewer_Blackbird,0.5833333333333334,0.7241379310344828,0.6461538461538462,29.0
010.Red_winged_Blackbird,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
011.Rusty_Blackbird,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
012.Yellow_headed_Blackbird,1.0,1.0,1.0,26.0
013.Bobolink,1.0,0.9666666666666667,0.9830508474576272,30.0
014.Indigo_Bunting,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
015.Lazuli_Bunting,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
016.Painted_Bunting,1.0,0.9285714285714286,0.9629629629629629,28.0
017.Cardinal,0.9642857142857143,1.0,0.9818181818181818,27.0
018.Spotted_Catbird,1.0,1.0,1.0,15.0
019.Gray_Catbird,1.0,1.0,1.0,29.0
020.Yellow_breasted_Chat,1.0,0.9655172413793104,0.9824561403508771,29.0
021.Eastern_Towhee,1.0,1.0,1.0,30.0
022.Chuck_will_Widow,0.85,0.6538461538461539,0.7391304347826086,26.0
023.Brandt_Cormorant,0.6285714285714286,0.7586206896551724,0.6875,29.0
024.Red_faced_Cormorant,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
025.Pelagic_Cormorant,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
026.Bronzed_Cowbird,0.8235294117647058,0.9333333333333333,0.875,30.0
027.Shiny_Cowbird,0.68,0.5666666666666667,0.6181818181818182,30.0
